Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2019-03-17 04:40:04,Other,PIT EXIT CLOSED,,,,,,,2019,1
2019-03-17 04:55:05,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,1.0,2019,1
2019-03-17 05:07:04,Drs,DRS DISABLED,DISABLED,,,,,1.0,2019,1
2019-03-17 05:13:33,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2019,1
2019-03-17 05:14:07,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,1.0,2019,1
2019-03-17 05:14:50,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,1.0,2019,1
2019-03-17 05:16:24,Drs,DRS ENABLED,ENABLED,,,,,2.0,2019,1
2019-03-17 05:27:32,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:27:32,,BLUE,Driver,,88,10.0,2019,1
2019-03-17 05:28:13,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:28:13,,BLUE,Driver,,88,10.0,2019,1
2019-03-17 05:29:02,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:29:01,,BLUE,Driver,,88,11.0,2019,1
2019-03-17 05:29:16,Other,CAR 55 (SAI) STOPPED AT PIT ENTRY,,,,,,11.0,2019,1
2019-03-17 05:29:19,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:29:18,,BLUE,Driver,,88,11.0,2019,1
2019-03-17 05:31:42,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:31:41,,BLUE,Driver,,88,13.0,2019,1
2019-03-17 05:34:26,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:34:25,,BLUE,Driver,,88,15.0,2019,1
2019-03-17 05:35:25,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:35:24,,BLUE,Driver,,88,15.0,2019,1
2019-03-17 05:35:54,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:35:54,,BLUE,Driver,,88,16.0,2019,1
2019-03-17 05:38:50,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:38:50,,BLUE,Driver,,3,18.0,2019,1
2019-03-17 05:39:25,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:39:24,,BLUE,Driver,,88,18.0,2019,1
2019-03-17 05:44:37,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:44:36,,BLUE,Driver,,88,21.0,2019,1
2019-03-17 05:44:57,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:44:57,,BLUE,Driver,,88,22.0,2019,1
2019-03-17 05:45:06,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:45:05,,BLUE,Driver,,63,22.0,2019,1
2019-03-17 05:45:28,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:45:28,,BLUE,Driver,,88,22.0,2019,1
