Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,IsAccurate,Season,Round,EventName
0 days 01:04:00.361000,HAM,44,0 days 00:01:34.057000,15.0,2.0,,,0 days 00:00:29.944000,0 days 00:00:40.709000,0 days 00:00:23.404000,233.0,251.0,277.0,288.0,True,HARD,2.0,True,Mercedes,1,3.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:05:35.465000,HAM,44,0 days 00:01:35.104000,16.0,2.0,,,0 days 00:00:30.504000,0 days 00:00:41.102000,0 days 00:00:23.498000,233.0,249.0,275.0,282.0,False,HARD,3.0,True,Mercedes,1,3.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:07:10.564000,HAM,44,0 days 00:01:35.099000,17.0,2.0,,,0 days 00:00:30.389000,0 days 00:00:41.101000,0 days 00:00:23.609000,233.0,254.0,275.0,285.0,False,HARD,4.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:08:45.830000,HAM,44,0 days 00:01:35.266000,18.0,2.0,,,0 days 00:00:30.555000,0 days 00:00:41.271000,0 days 00:00:23.440000,232.0,254.0,276.0,287.0,False,HARD,5.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:10:21.176000,HAM,44,0 days 00:01:35.346000,19.0,2.0,,,0 days 00:00:30.557000,0 days 00:00:41.238000,0 days 00:00:23.551000,232.0,254.0,276.0,281.0,False,HARD,6.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:11:56.500000,HAM,44,0 days 00:01:35.324000,20.0,2.0,,,0 days 00:00:30.750000,0 days 00:00:41.051000,0 days 00:00:23.523000,233.0,255.0,277.0,286.0,False,HARD,7.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:13:32.337000,HAM,44,0 days 00:01:35.837000,21.0,2.0,,,0 days 00:00:30.908000,0 days 00:00:41.469000,0 days 00:00:23.460000,230.0,253.0,278.0,283.0,False,HARD,8.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:15:07.876000,HAM,44,0 days 00:01:35.539000,22.0,2.0,,,0 days 00:00:30.716000,0 days 00:00:41.255000,0 days 00:00:23.568000,231.0,253.0,277.0,286.0,False,HARD,9.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:16:43.095000,HAM,44,0 days 00:01:35.219000,23.0,2.0,,,0 days 00:00:30.573000,0 days 00:00:41.001000,0 days 00:00:23.645000,232.0,258.0,277.0,281.0,False,HARD,10.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:18:18.182000,HAM,44,0 days 00:01:35.087000,24.0,2.0,,,0 days 00:00:30.501000,0 days 00:00:41.090000,0 days 00:00:23.496000,231.0,258.0,278.0,290.0,False,HARD,11.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:19:53.541000,HAM,44,0 days 00:01:35.359000,25.0,2.0,,,0 days 00:00:30.716000,0 days 00:00:40.983000,0 days 00:00:23.660000,230.0,256.0,277.0,286.0,False,HARD,12.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:21:29.163000,HAM,44,0 days 00:01:35.622000,26.0,2.0,,,0 days 00:00:30.682000,0 days 00:00:41.157000,0 days 00:00:23.783000,231.0,257.0,277.0,282.0,False,HARD,13.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:23:05.103000,HAM,44,0 days 00:01:35.940000,27.0,2.0,,,0 days 00:00:30.766000,0 days 00:00:41.422000,0 days 00:00:23.752000,231.0,256.0,279.0,282.0,False,HARD,14.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:24:42.938000,HAM,44,0 days 00:01:37.835000,28.0,2.0,,0 days 01:24:41.240000,0 days 00:00:30.543000,0 days 00:00:41.164000,0 days 00:00:26.128000,232.0,255.0,,285.0,False,HARD,15.0,True,Mercedes,1,2.0,,,False,2021,1,Bahrain Grand Prix
0 days 01:26:38.132000,HAM,44,0 days 00:01:55.194000,29.0,3.0,0 days 01:25:05.375000,,0 days 00:00:50.613000,0 days 00:00:41.312000,0 days 00:00:23.269000,231.0,255.0,277.0,223.0,False,HARD,1.0,True,Mercedes,1,3.0,,,False,2021,1,Bahrain Grand Prix
0 days 01:28:12.497000,HAM,44,0 days 00:01:34.365000,30.0,3.0,,,0 days 00:00:30.213000,0 days 00:00:40.895000,0 days 00:00:23.257000,233.0,258.0,277.0,288.0,False,HARD,2.0,True,Mercedes,1,3.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:29:47.802000,HAM,44,0 days 00:01:35.305000,31.0,3.0,,,0 days 00:00:30.947000,0 days 00:00:41.186000,0 days 00:00:23.172000,224.0,252.0,278.0,277.0,False,HARD,3.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:31:22.531000,HAM,44,0 days 00:01:34.729000,32.0,3.0,,,0 days 00:00:30.240000,0 days 00:00:41.061000,0 days 00:00:23.428000,234.0,242.0,278.0,282.0,False,HARD,4.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:32:57.572000,HAM,44,0 days 00:01:35.041000,33.0,3.0,,,0 days 00:00:30.362000,0 days 00:00:41.264000,0 days 00:00:23.415000,233.0,244.0,278.0,286.0,False,HARD,5.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:34:32.237000,HAM,44,0 days 00:01:34.665000,34.0,3.0,,,0 days 00:00:30.259000,0 days 00:00:41.084000,0 days 00:00:23.322000,233.0,249.0,278.0,286.0,False,HARD,6.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:36:06.982000,HAM,44,0 days 00:01:34.745000,35.0,3.0,,,0 days 00:00:30.578000,0 days 00:00:40.845000,0 days 00:00:23.322000,233.0,256.0,278.0,283.0,False,HARD,7.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:37:41.736000,HAM,44,0 days 00:01:34.754000,36.0,3.0,,,0 days 00:00:30.504000,0 days 00:00:40.864000,0 days 00:00:23.386000,233.0,254.0,279.0,283.0,False,HARD,8.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:39:16.476000,HAM,44,0 days 00:01:34.740000,37.0,3.0,,,0 days 00:00:30.339000,0 days 00:00:41.183000,0 days 00:00:23.218000,235.0,250.0,280.0,282.0,False,HARD,9.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:40:51.196000,HAM,44,0 days 00:01:34.720000,38.0,3.0,,,0 days 00:00:30.347000,0 days 00:00:40.986000,0 days 00:00:23.387000,234.0,254.0,280.0,291.0,False,HARD,10.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:42:26.012000,HAM,44,0 days 00:01:34.816000,39.0,3.0,,,0 days 00:00:30.468000,0 days 00:00:41.030000,0 days 00:00:23.318000,235.0,258.0,279.0,288.0,False,HARD,11.0,True,Mercedes,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:44:00.902000,HAM,44,0 days 00:01:34.890000,40.0,3.0,,,0 days 00:00:30.620000,0 days 00:00:40.931000,0 days 00:00:23.339000,233.0,257.0,280.0,285.0,False,HARD,12.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:45:35.236000,HAM,44,0 days 00:01:34.334000,41.0,3.0,,,0 days 00:00:30.276000,0 days 00:00:40.771000,0 days 00:00:23.287000,234.0,258.0,279.0,286.0,False,HARD,13.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:47:09.435000,HAM,44,0 days 00:01:34.199000,42.0,3.0,,,0 days 00:00:30.387000,0 days 00:00:40.615000,0 days 00:00:23.197000,234.0,261.0,281.0,288.0,False,HARD,14.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:48:43.598000,HAM,44,0 days 00:01:34.163000,43.0,3.0,,,0 days 00:00:30.222000,0 days 00:00:40.647000,0 days 00:00:23.294000,234.0,262.0,290.0,290.0,False,HARD,15.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:50:17.613000,HAM,44,0 days 00:01:34.015000,44.0,3.0,,,0 days 00:00:29.976000,0 days 00:00:40.631000,0 days 00:00:23.408000,232.0,261.0,279.0,315.0,True,HARD,16.0,True,Mercedes,12,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:51:52.196000,HAM,44,0 days 00:01:34.583000,45.0,3.0,,,0 days 00:00:30.534000,0 days 00:00:40.615000,0 days 00:00:23.434000,233.0,258.0,280.0,284.0,False,HARD,17.0,True,Mercedes,21,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:53:26.688000,HAM,44,0 days 00:01:34.492000,46.0,3.0,,,0 days 00:00:30.238000,0 days 00:00:40.850000,0 days 00:00:23.404000,236.0,258.0,285.0,302.0,False,HARD,18.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:55:01.279000,HAM,44,0 days 00:01:34.591000,47.0,3.0,,,0 days 00:00:30.448000,0 days 00:00:40.884000,0 days 00:00:23.259000,234.0,256.0,279.0,294.0,False,HARD,19.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:56:35.446000,HAM,44,0 days 00:01:34.167000,48.0,3.0,,,0 days 00:00:30.336000,0 days 00:00:40.567000,0 days 00:00:23.264000,235.0,257.0,280.0,289.0,False,HARD,20.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:58:09.582000,HAM,44,0 days 00:01:34.136000,49.0,3.0,,,0 days 00:00:30.273000,0 days 00:00:40.641000,0 days 00:00:23.222000,233.0,256.0,280.0,290.0,False,HARD,21.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:59:43.936000,HAM,44,0 days 00:01:34.354000,50.0,3.0,,,0 days 00:00:30.265000,0 days 00:00:40.749000,0 days 00:00:23.340000,235.0,257.0,282.0,292.0,False,HARD,22.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:01:18.515000,HAM,44,0 days 00:01:34.579000,51.0,3.0,,,0 days 00:00:30.360000,0 days 00:00:41.010000,0 days 00:00:23.209000,234.0,257.0,282.0,291.0,False,HARD,23.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:02:53.454000,HAM,44,0 days 00:01:34.939000,52.0,3.0,,,0 days 00:00:30.625000,0 days 00:00:40.960000,0 days 00:00:23.354000,237.0,258.0,281.0,293.0,False,HARD,24.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:04:29.609000,HAM,44,0 days 00:01:36.155000,53.0,3.0,,,0 days 00:00:30.810000,0 days 00:00:41.885000,0 days 00:00:23.460000,237.0,255.0,281.0,303.0,False,HARD,25.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:06:04.423000,HAM,44,0 days 00:01:34.814000,54.0,3.0,,,0 days 00:00:30.734000,0 days 00:00:40.788000,0 days 00:00:23.292000,233.0,258.0,280.0,286.0,False,HARD,26.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:07:39.129000,HAM,44,0 days 00:01:34.706000,55.0,3.0,,,0 days 00:00:30.605000,0 days 00:00:40.960000,0 days 00:00:23.141000,235.0,258.0,280.0,288.0,False,HARD,27.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 02:09:14.047000,HAM,44,0 days 00:01:34.918000,56.0,3.0,,,0 days 00:00:30.431000,0 days 00:00:40.946000,0 days 00:00:23.541000,239.0,267.0,279.0,291.0,False,HARD,28.0,True,Mercedes,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:39:08.393000,VER,33,0 days 00:01:58.245000,1.0,1.0,,,,0 days 00:00:53.703000,0 days 00:00:32.579000,233.0,90.0,222.0,250.0,False,MEDIUM,4.0,False,Red Bull Racing,124,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 00:41:30.799000,VER,33,0 days 00:02:22.406000,2.0,1.0,,,0 days 00:00:45.874000,0 days 00:01:01.922000,0 days 00:00:34.610000,186.0,198.0,222.0,238.0,True,MEDIUM,5.0,False,Red Bull Racing,4,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 00:44:08.778000,VER,33,,3.0,1.0,,,0 days 00:00:44.111000,0 days 00:01:02.264000,0 days 00:00:51.626000,142.0,109.0,168.0,138.0,False,MEDIUM,6.0,False,Red Bull Racing,41,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 00:45:53.121000,VER,33,0 days 00:01:44.343000,4.0,1.0,,,0 days 00:00:32.129000,0 days 00:00:41.273000,0 days 00:00:30.941000,234.0,254.0,211.0,280.0,True,MEDIUM,7.0,False,Red Bull Racing,126,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 00:47:37.750000,VER,33,0 days 00:01:44.629000,5.0,1.0,,,0 days 00:00:39.328000,0 days 00:00:41.460000,0 days 00:00:23.841000,198.0,257.0,272.0,210.0,False,MEDIUM,8.0,False,Red Bull Racing,671,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 00:49:13.732000,VER,33,0 days 00:01:35.982000,6.0,1.0,,,0 days 00:00:30.819000,0 days 00:00:41.205000,0 days 00:00:23.958000,232.0,259.0,272.0,285.0,True,MEDIUM,9.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:50:49.634000,VER,33,0 days 00:01:35.902000,7.0,1.0,,,0 days 00:00:30.846000,0 days 00:00:41.378000,0 days 00:00:23.678000,230.0,253.0,273.0,281.0,True,MEDIUM,10.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:52:25.666000,VER,33,0 days 00:01:36.032000,8.0,1.0,,,0 days 00:00:31.016000,0 days 00:00:41.266000,0 days 00:00:23.750000,228.0,255.0,272.0,276.0,False,MEDIUM,11.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:54:01.678000,VER,33,0 days 00:01:36.012000,9.0,1.0,,,0 days 00:00:30.988000,0 days 00:00:41.271000,0 days 00:00:23.753000,231.0,255.0,273.0,279.0,False,MEDIUM,12.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:55:37.853000,VER,33,0 days 00:01:36.175000,10.0,1.0,,,0 days 00:00:30.984000,0 days 00:00:41.378000,0 days 00:00:23.813000,229.0,253.0,273.0,278.0,False,MEDIUM,13.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:57:14.032000,VER,33,0 days 00:01:36.179000,11.0,1.0,,,0 days 00:00:30.868000,0 days 00:00:41.427000,0 days 00:00:23.884000,231.0,250.0,272.0,280.0,False,MEDIUM,14.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 00:58:50.624000,VER,33,0 days 00:01:36.592000,12.0,1.0,,,0 days 00:00:31.286000,0 days 00:00:41.516000,0 days 00:00:23.790000,226.0,252.0,273.0,280.0,False,MEDIUM,15.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:00:26.915000,VER,33,0 days 00:01:36.291000,13.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:41.468000,0 days 00:00:23.799000,235.0,255.0,273.0,285.0,False,MEDIUM,16.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:02:03.795000,VER,33,0 days 00:01:36.880000,14.0,1.0,,,0 days 00:00:31.070000,0 days 00:00:41.804000,0 days 00:00:24.006000,233.0,253.0,273.0,281.0,False,MEDIUM,17.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:03:40.719000,VER,33,0 days 00:01:36.924000,15.0,1.0,,,0 days 00:00:31.225000,0 days 00:00:41.652000,0 days 00:00:24.047000,230.0,251.0,273.0,283.0,False,MEDIUM,18.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:05:17.752000,VER,33,0 days 00:01:37.033000,16.0,1.0,,,0 days 00:00:31.144000,0 days 00:00:41.813000,0 days 00:00:24.076000,232.0,250.0,273.0,280.0,False,MEDIUM,19.0,False,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:06:56.905000,VER,33,0 days 00:01:39.153000,17.0,1.0,,0 days 01:06:55.220000,0 days 00:00:31.143000,0 days 00:00:41.614000,0 days 00:00:26.396000,231.0,251.0,,283.0,False,MEDIUM,20.0,False,Red Bull Racing,1,1.0,,,False,2021,1,Bahrain Grand Prix
0 days 01:08:52.437000,VER,33,0 days 00:01:55.532000,18.0,2.0,0 days 01:07:20.122000,,0 days 00:00:51.372000,0 days 00:00:40.699000,0 days 00:00:23.461000,235.0,258.0,274.0,220.0,False,MEDIUM,1.0,True,Red Bull Racing,1,2.0,,,False,2021,1,Bahrain Grand Prix
0 days 01:10:26.858000,VER,33,0 days 00:01:34.421000,19.0,2.0,,,0 days 00:00:30.425000,0 days 00:00:40.566000,0 days 00:00:23.430000,235.0,254.0,275.0,284.0,True,MEDIUM,2.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:12:01.728000,VER,33,0 days 00:01:34.870000,20.0,2.0,,,0 days 00:00:30.565000,0 days 00:00:40.842000,0 days 00:00:23.463000,234.0,252.0,276.0,284.0,False,MEDIUM,3.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:13:36.557000,VER,33,0 days 00:01:34.829000,21.0,2.0,,,0 days 00:00:30.615000,0 days 00:00:40.781000,0 days 00:00:23.433000,232.0,253.0,276.0,284.0,False,MEDIUM,4.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:15:11.716000,VER,33,0 days 00:01:35.159000,22.0,2.0,,,0 days 00:00:30.617000,0 days 00:00:40.954000,0 days 00:00:23.588000,234.0,254.0,275.0,285.0,False,MEDIUM,5.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:16:46.838000,VER,33,0 days 00:01:35.122000,23.0,2.0,,,0 days 00:00:30.634000,0 days 00:00:40.895000,0 days 00:00:23.593000,231.0,255.0,276.0,286.0,False,MEDIUM,6.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:18:22.045000,VER,33,0 days 00:01:35.207000,24.0,2.0,,,0 days 00:00:30.672000,0 days 00:00:41.076000,0 days 00:00:23.459000,231.0,252.0,276.0,285.0,False,MEDIUM,7.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:19:57.089000,VER,33,0 days 00:01:35.044000,25.0,2.0,,,0 days 00:00:30.592000,0 days 00:00:40.973000,0 days 00:00:23.479000,231.0,252.0,276.0,287.0,False,MEDIUM,8.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:21:32.047000,VER,33,0 days 00:01:34.958000,26.0,2.0,,,0 days 00:00:30.560000,0 days 00:00:40.855000,0 days 00:00:23.543000,233.0,252.0,277.0,287.0,False,MEDIUM,9.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:23:07.165000,VER,33,0 days 00:01:35.118000,27.0,2.0,,,0 days 00:00:30.543000,0 days 00:00:40.968000,0 days 00:00:23.607000,236.0,253.0,279.0,286.0,False,MEDIUM,10.0,True,Red Bull Racing,1,2.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:24:42.291000,VER,33,0 days 00:01:35.126000,28.0,2.0,,,0 days 00:00:30.461000,0 days 00:00:41.043000,0 days 00:00:23.622000,235.0,254.0,275.0,290.0,False,MEDIUM,11.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:26:17.573000,VER,33,0 days 00:01:35.282000,29.0,2.0,,,0 days 00:00:30.687000,0 days 00:00:41.070000,0 days 00:00:23.525000,232.0,255.0,276.0,287.0,False,MEDIUM,12.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:27:53.049000,VER,33,0 days 00:01:35.476000,30.0,2.0,,,0 days 00:00:30.651000,0 days 00:00:41.056000,0 days 00:00:23.769000,233.0,256.0,284.0,290.0,False,MEDIUM,13.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:29:28.103000,VER,33,0 days 00:01:35.054000,31.0,2.0,,,0 days 00:00:30.297000,0 days 00:00:41.194000,0 days 00:00:23.563000,236.0,254.0,277.0,307.0,False,MEDIUM,14.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:31:03.481000,VER,33,0 days 00:01:35.378000,32.0,2.0,,,0 days 00:00:30.655000,0 days 00:00:41.205000,0 days 00:00:23.518000,234.0,254.0,275.0,286.0,False,MEDIUM,15.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:32:38.767000,VER,33,0 days 00:01:35.286000,33.0,2.0,,,0 days 00:00:30.587000,0 days 00:00:41.096000,0 days 00:00:23.603000,234.0,255.0,278.0,288.0,False,MEDIUM,16.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:34:14.405000,VER,33,0 days 00:01:35.638000,34.0,2.0,,,0 days 00:00:30.731000,0 days 00:00:41.169000,0 days 00:00:23.738000,233.0,256.0,278.0,289.0,False,MEDIUM,17.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:35:49.998000,VER,33,0 days 00:01:35.593000,35.0,2.0,,,0 days 00:00:30.708000,0 days 00:00:41.179000,0 days 00:00:23.706000,233.0,254.0,280.0,290.0,False,MEDIUM,18.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:37:25.719000,VER,33,0 days 00:01:35.721000,36.0,2.0,,,0 days 00:00:30.744000,0 days 00:00:41.356000,0 days 00:00:23.621000,234.0,255.0,276.0,287.0,False,MEDIUM,19.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:39:01.339000,VER,33,0 days 00:01:35.620000,37.0,2.0,,,0 days 00:00:30.690000,0 days 00:00:41.332000,0 days 00:00:23.598000,237.0,257.0,276.0,287.0,False,MEDIUM,20.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
0 days 01:40:37.260000,VER,33,0 days 00:01:35.921000,38.0,2.0,,,0 days 00:00:30.808000,0 days 00:00:41.329000,0 days 00:00:23.784000,235.0,258.0,276.0,285.0,False,MEDIUM,21.0,True,Red Bull Racing,1,1.0,,,True,2021,1,Bahrain Grand Prix
